name,avg_yellow_per_match,avg_red_per_match,avg_goals_per_match,avg_fouls_per_match
Javier Alberola Rojas,2.36,0.09,3.09,25.9
Joao Pedro Pinheiro,2.77,0.14,2.77,24.7
José Luis Munuera Montero,2.41,0.09,2.82,26.4
Luis Bestard Servera,5.14,0.14,3.14,28.0
Marcel Birsan,2.23,0.09,2.82,24.1
Marian Barbu,2.95,0.0,3.0,23.6
Nathan Verboomen,2.32,0.05,2.41,23.0
Richard Sundell,0.27,0.0,2.95,24.0
Sander van der Eijk,2.36,0.14,2.77,22.1
Willy Delajod,1.82,0.14,2.86,23.4
Alejandro Morilla Turrion,5.24,0.24,2.95,28.6
Bert Verbeke,1.81,0.1,2.95,21.9
Cihan Aydin,2.86,0.14,2.24,27.2
Gorka Etayo Herrera,4.9,0.14,2.43,27.8
Jan Boterberg,2.29,0.1,2.43,21.7
John Beaton,1.52,0.05,3.1,22.9
Karol Arys,0.95,0.05,2.52,27.1
Lucas Casagrande,1.19,0.1,2.43,28.6
Malik Badawi,1.19,0.0,2.95,23.2
Nicolas Laforge,2.57,0.05,1.76,21.6
Oliver de la Fuente Ramos,4.52,0.1,3.0,24.0
Piotr Lasyk,1.86,0.05,2.52,26.2
Ruben Avalos Barrera,5.38,0.14,1.9,29.5
Ruddy Buquet,2.38,0.05,2.76,23.1
Ruebyn Ricardo,3.38,0.05,2.48,22.1
Simon Bourdeaud'hui,1.38,0.1,3.0,23.0
Simone Sozza,1.52,0.05,2.57,24.0
Steven McLean,2.14,0.29,2.48,24.7
Tori Penso,1.14,0.0,2.29,21.4
Victor Garcia Verdura,2.67,0.1,2.43,24.0
Alejandro Muñiz Ruiz,2.55,0.15,3.25,23.9
Alejandro Ojaos Valera,5.2,0.3,3.35,28.4
Ali Yilmaz,2.4,0.0,2.35,25.6
Damian Kos,1.95,0.0,2.2,24.2
Dean Whitestone,1.7,0.0,2.55,22.8
Eric Wattellier,1.95,0.1,3.6,20.1
Fotis Bazakos,1.3,0.05,3.55,24.9
Guillermo Cuadra Fernandez,3.1,0.15,2.95,24.6
Isidro Diaz de Mera Escuderos,3.75,0.15,2.9,24.7
James Linington,2.5,0.05,2.6,20.5
Joseph Dickerson,1.05,0.1,4.15,27.8
Leigh Doughty,3.0,0.0,2.85,21.9
Luís Godinho,2.45,0.0,2.55,26.1
Marc Nagtegaal,1.45,0.1,3.6,21.8
Miguel Angel Ortiz Arias,2.25,0.05,2.65,22.9
Ricardo Fierro,0.6,0.0,2.6,28.1
Ricardo Montero,1.4,0.1,3.15,24.9
Robert Jones,2.75,0.0,2.85,21.6
Savio Pereira Sampaio,2.2,0.0,3.3,26.8
Adrian Cordero Vega,3.16,0.0,2.26,25.3
Alejandro Quintero Gonzalez,3.26,0.11,2.63,27.3
Alonso De Ena Wolf,6.37,0.37,2.11,29.0
Anastasios Papapetrou,2.26,0.11,2.53,29.9
Benjamin Brand,2.68,0.16,3.53,19.6
Ben Toner,2.47,0.11,2.47,24.2
César Ramos Palazuelos,2.74,0.05,3.32,25.3
Daniele Doveri,2.16,0.16,2.21,24.2
David Dickinson,2.89,0.21,2.68,23.4
Florian Badstubner,1.37,0.16,2.95,21.8
Jeremie Pignard,2.37,0.26,3.37,22.1
Jeroen Manschot,2.11,0.11,2.68,20.6
Jérôme Brisard,2.21,0.16,2.89,22.8
Michael Salisbury,2.53,0.05,3.11,22.1
Patryk Gryckiewicz,2.32,0.0,3.11,25.1
Radu Marian Petrescu,0.84,0.0,2.42,26.7
Rares George Vidican,2.79,0.16,2.58,25.6
Szabolcs Kovacs,3.32,0.11,2.32,22.3
Tim Robinson,3.37,0.16,2.16,22.5
Wojciech Myc,2.32,0.0,2.68,27.4
Alberto Undiano Mallenco,5.56,0.06,3.67,
Andrea Colombo,3.39,0.0,2.94,28.1
Antonio Nobre,2.89,0.11,2.5,27.9
Armando Villarrea,0.94,0.0,3.11,22.9
Daniel Schlager,2.78,0.06,3.11,22.4
Donald Robertson,2.0,0.0,2.39,23.1
Elliot Bell,3.11,0.0,2.0,23.2
Florin Andrei,1.5,0.0,1.83,23.6
Jaroslaw Przybyl,2.33,0.0,2.11,26.4
John Brooks,2.89,0.06,2.61,22.9
Lorenzo Hernandez,1.06,0.11,3.28,24.5
Lukasz Kuzma,1.72,0.0,2.83,24.1
Matthew MacDermid,2.56,0.06,2.78,23.1
Sandro Schärer,3.0,0.06,3.11,27.6
Simon Hooper,2.17,0.06,3.33,23.3
Tobias Welz,4.22,0.0,2.33,24.6
Tomasz Kwiatkowski,2.0,0.06,3.22,22.8
Yasin Kol,3.5,0.06,2.11,26.8
Adnan Deniz Kayatepe,2.41,0.0,2.94,28.5
Bartosz Frankowski,2.35,0.06,2.94,22.3
Bastien Dechepy,2.82,0.06,2.35,25.8
Beatriz Cuesta Arribas,1.71,0.0,2.71,16.8
Daniel Quintero Huitrón,2.82,0.0,2.88,23.8
David Fernández Borbalan,3.94,0.06,3.29,
Elena Pelaez Arnillas,1.53,0.06,3.29,22.2
Ismir Pekmic,0.0,0.0,2.35,25.2
Joao Antonio Ferreira Goncalves,2.53,0.18,2.71,25.2
Joey Kooij,1.18,0.0,2.88,20.9
Luca Cibelli,2.53,0.24,3.59,24.5
Luis Santander,2.0,0.0,3.0,27.6
Lukas Fahndrich,2.06,0.12,3.47,26.5
Mateo Busquets Ferrer,3.53,0.29,2.47,24.6
Michael Fabbri,3.53,0.06,1.88,24.7
Paul Tierney,3.06,0.06,2.65,20.7
Sam Allison,2.53,0.0,2.35,23.4
Shukri Alhunfush,2.41,0.06,3.18,26.2
Thomas Leonard,2.29,0.06,2.47,24.9
Tim Ford,1.0,0.0,3.82,23.0
Tony Harrington,1.59,0.0,2.47,20.6
Ainara Andrea Acevedo Dudley,1.94,0.0,3.25,20.2
Alexandros Tsakalidis,3.0,0.0,1.94,29.4
Alex Bos,1.62,0.0,3.56,21.7
Fernando Hernandez,1.75,0.38,2.62,26.7
Fernando Teixeira,4.06,0.19,3.25,
Francisco Hernandez Maeso,2.75,0.06,2.81,24.8
Ismael Rosario Lopez Penuelas,2.25,0.12,2.44,24.8
Jannick van der Laan,2.25,0.0,2.19,23.4
Joakim Ostling,0.0,0.0,3.19,25.3
Lorena Del Mar,1.44,0.0,2.12,21.1
Marc Bollengier,2.94,0.12,2.81,27.8
Matteo Marchetti,2.5,0.31,2.38,23.9
Matthias Jollenbeck,2.56,0.0,3.69,20.4
Maximiliano Quintero Hernandez,3.0,0.06,2.56,23.3
Mohammed Khled Hoish,2.88,0.0,3.31,25.0
Oguzhan Cakir,2.44,0.0,2.19,29.9
Vassilis Fotias,3.25,0.06,2.5,27.8
Vicente Jassiel Reynoso Arce,1.94,0.19,2.81,26.4
Victor Alfonso Caceres Hernandez,1.62,0.12,3.0,24.8
Wesli De Cremer,2.31,0.06,2.88,25.3
Adonai Escobedo Gonzalez,3.07,0.27,2.93,23.1
Alessandro Dudic,1.87,0.27,3.93,25.4
Alicia Espinosa Rios,1.47,0.0,2.0,16.3
Ali Sansalan,2.2,0.13,3.27,26.1
Anastasios Sidiropoulos,1.87,0.27,2.27,25.1
Andrea Fernandez Firvida,2.8,0.07,2.73,21.5
Anojen Kanagasingam,2.13,0.07,3.53,23.9
Atilla Karaoglan,2.73,0.2,3.0,28.1
Benoît Millot,2.27,0.07,2.8,27.4
Christos Vergetis,3.33,0.07,2.27,31.6
Claudio Filipe Ruivo Pereira,2.47,0.0,1.93,28.7
Daniele Chiffi,1.8,0.0,2.2,22.7
David Rafael Oliveira da Silva,4.53,0.27,2.27,30.1
Dragomir Draganov,1.2,0.07,2.33,23.4
Eduardo Iturralde Gonzalez,4.87,0.27,3.2,
Guillaume Paradis,2.0,0.13,1.87,26.0
Jeremy Stinat,2.2,0.13,2.73,22.9
Johannes von Mandach,2.47,0.07,2.67,25.1
Kadir Saglam,3.93,0.13,2.93,30.0
Luca Zufferli,1.33,0.07,1.93,25.9
Mehmet Turkmen,2.27,0.13,3.2,26.3
Melissa Lopez Osorio,2.67,0.0,2.07,19.5
Miguel Nogueira,2.07,0.13,2.4,26.9
Nico Gianforte,3.0,0.2,2.6,27.1
Paola Cebollada Lopez,2.07,0.0,2.8,16.6
Robin Hensgens,2.07,0.07,2.27,23.7
Sven Wolfensberger,2.87,0.0,3.07,31.0
Ylenia Sanchez Miguel,3.13,0.07,3.2,21.0
Bastian Dankert,2.36,0.0,3.71,19.5
César Muñiz,4.79,0.29,3.86,
Ermanno Feliciani,1.57,0.07,3.29,24.1
Florian Exner,3.07,0.14,4.14,22.6
Gael Angoula,2.0,0.0,3.79,20.7
Khaled Al Teris,3.14,0.0,2.86,25.7
Luca Piccolo,3.14,0.0,3.29,28.3
Lukasz Szpala,0.0,0.0,2.93,24.1
Majed Mohammed Al-Shamrani,3.36,0.29,2.57,24.6
Marco Di Bello,1.36,0.0,2.57,25.7
Mathieu Vernice,3.0,0.14,2.5,28.6
Oscar Mejia Garcia,2.36,0.14,2.43,27.6
Radoslav Gidzhenov,1.5,0.14,2.43,26.2
Robert Hartmann,1.64,0.14,3.5,24.3
Romain Lissorgue,2.14,0.07,3.36,26.4
Sebastian Coltescu,1.93,0.14,2.57,24.6
Stephanie Frappart,2.21,0.0,3.5,24.5
Volen Chinkov,1.71,0.07,2.29,23.4
Alper Akarsu,1.85,0.0,2.69,23.5
Bas Nijhuis,0.92,0.0,3.77,20.6
Batuhan Kolak,3.46,0.08,2.77,27.9
Carlos Velasco Carballo,3.46,0.08,3.0,
Christian Dingert,3.31,0.15,2.69,23.5
Deniz Aytekin,2.0,0.15,2.08,21.9
Duncan Nicolson,2.62,0.0,2.31,24.6
Elisabet Calvo Valentin,1.08,0.0,3.69,22.2
Fabio Jose Costa Verissimo,3.38,0.0,3.08,26.8
Federico La Penna,2.31,0.08,3.15,28.2
Fotios Polychronis,3.69,0.0,2.62,27.7
George Catalin Roman,2.54,0.08,2.92,26.5
Guillermo Pacheco Larios,1.38,0.15,2.31,22.0
Gustavo Correia,2.92,0.15,1.38,27.8
Hakim Ben el Salem Hadj,2.62,0.31,2.31,21.9
Iulian Calin,3.0,0.0,2.54,19.9
James Bell,1.69,0.0,2.23,20.8
Jesus Rafael Lopez Valle,2.54,0.15,3.38,24.2
Jorge Abraham Camacho Peregrina,2.31,0.31,2.77,22.8
Katia García,2.23,0.08,3.08,27.8
Maria Gloria Planes Terol,2.46,0.08,3.0,18.9
Marian Grebencharski,1.77,0.0,2.92,21.2
Martin Van den Kerkhof,1.46,0.08,3.46,19.7
Matteo Marcenaro,2.23,0.0,2.31,25.1
Miguel Pérez,5.0,0.08,2.85,
Nikola Popov,1.15,0.0,2.62,23.4
Ozan Ergun,2.62,0.08,3.46,25.7
Rob Dieperink,1.77,0.0,3.69,23.3
Sergii Demianchuk,1.0,0.0,3.69,26.5
Sergio Guelho,2.31,0.0,2.77,27.4
Yonatan Peinado Aguirre,2.46,0.15,3.31,25.1
Abdullah Al-Kharbosh,3.33,0.0,2.67,22.6
Angelos Evangelou,3.17,0.0,2.42,23.9
Benjamin Speedie,1.83,0.08,2.17,19.0
Bert Put,2.67,0.17,2.83,23.3
Cagdas Altay,1.92,0.08,3.33,26.4
Calum Scott,2.5,0.25,3.08,23.5
Dennis Higler,1.17,0.0,2.67,23.2
Dimitar Dimitrov,2.25,0.17,1.75,24.0
Donatas Rumsas,2.0,0.25,2.92,25.2
Erik Mattsson,0.83,0.0,2.83,25.2
Erwin Blank,1.67,0.0,3.67,23.3
Francesco Fourneau,2.67,0.0,3.0,25.9
Giuseppe Collu,1.83,0.17,1.67,22.2
Helder Filipe Claudio Carvalho,2.08,0.08,3.25,29.3
Helder Malheiro,2.33,0.08,4.0,29.9
Kevin van Damme,1.67,0.0,2.5,22.8
Luca Pairetto,4.25,0.33,2.08,26.9
Patrick Ittrich,2.42,0.08,3.08,19.2
Pawel Malec,2.33,0.0,3.0,19.8
Robert Madley,1.5,0.0,1.75,20.0
Ross Hardie,2.25,0.25,3.42,25.1
Ryan Lee,1.83,0.33,2.75,26.4
Sören Storks,3.67,0.08,2.83,21.8
Tom Reeves,3.0,0.0,3.17,20.2
Turienzo,3.58,0.0,3.75,
Viorel Nicusor Flueran,1.67,0.0,3.08,19.4
Abdelatif Kherradji,1.27,0.18,2.36,28.4
Alberto Ruben Arena,1.64,0.0,2.0,21.5
Andrei Florin Chivulete,1.91,0.0,2.0,26.1
Anzhony Rodrigues,2.09,0.09,3.09,26.3
Bruno Jose Ribeiro Pires Costa,2.91,0.0,2.45,25.7
Carlos Delgado,4.27,0.18,4.09,
Georgi Dimitrov,1.55,0.0,2.91,23.0
Georgi Ginchev,1.09,0.18,1.64,26.9
Gianluca Manganiello,1.91,0.0,2.45,23.9
Horia Gabriel Mladinovici,2.09,0.0,1.91,18.8
Jose Bessa,4.0,0.18,2.18,28.0
Juan Luca Sacchi,3.36,0.0,2.18,27.4
Kevin Clancy,2.55,0.27,2.45,22.0
Lyuboslav Lyubomirov,2.27,0.0,2.91,22.1
Maria Eugenia Gil Soriano,1.36,0.09,2.82,15.0
Michail Matsoukas,3.64,0.0,3.27,29.6
Michiel Allaerts,1.91,0.18,1.82,24.7
Mirel Turkes,3.27,0.09,3.91,27.6
Mohammed Sami Taher Al Ismail,2.55,0.09,2.82,21.5
Rade Obrenovič,0.82,0.0,2.64,24.6
Slavko Vinčić,1.91,0.0,3.0,24.2
Spyridon Zampalas,3.82,0.0,2.82,34.3
Tess Olofsson,0.45,0.0,3.45,24.4
Tobias Reichel,2.55,0.09,3.09,22.0
Ventsislav Mitrev,3.09,0.09,2.18,23.5
Athanasios Tzilos,3.4,0.1,2.7,28.3
Carlos Macedo,1.8,0.0,3.2,26.2
Edward Duckworth,2.9,0.0,2.5,23.0
Espen Eskas,1.0,0.0,3.6,21.7
Faisal Suleiman Al-Balawi,2.3,0.2,3.1,23.2
Fedayi San,3.0,0.1,3.3,25.2
Fernando Antonio Mendes de Salles Nascimento Filho,2.1,0.3,2.9,31.1
George Catalin Gaman,2.8,0.1,2.5,27.5
Hiroyuki Kimura,3.3,0.0,2.4,22.0
Ingmar Oostrom,1.9,0.0,4.1,22.1
Joaquin Alberto Vizcarra Armenta,2.1,0.1,2.1,23.9
Kevin Bonacina,1.9,0.0,3.3,25.7
Kristiyan Kolev,2.1,0.1,2.1,22.1
Marcelo de Lima Henrique,1.8,0.2,3.5,26.4
Martin Petersen,3.4,0.0,3.1,23.1
Martin Velikov,1.1,0.0,2.6,21.4
Oguzhan Aksu,2.0,0.0,1.5,23.5
Pedro Ramalho,2.9,0.3,2.3,30.4
Rosario Abisso,2.3,0.3,1.8,25.0
Sebastian Krasny,2.3,0.0,3.3,24.1
Stavros Tsimenteridis,2.9,0.3,2.7,29.4
Valentin Zhelezov,1.9,0.2,1.8,23.9
Vasil Minev,2.4,0.1,2.7,23.0
Wagner do Nascimento Magalhaes,2.8,0.1,2.5,28.7
Abdullah Al-Owaidan,3.11,0.22,2.78,25.7
Akihiko Ikeuchi,1.44,0.0,3.56,18.0
Fabio Maresca,3.56,0.11,2.44,24.6
Frank Willenborg,2.22,0.11,2.67,20.6
Giovanni Ayroldi,1.67,0.0,2.33,30.4
Ioannis Papadopoulos,4.33,0.11,2.11,31.1
Irfan Peljto,2.78,0.44,2.56,25.1
Ivan Antonio Lopez Sanchez,1.22,0.0,2.89,29.2
Ivan Kružliak,1.44,0.0,3.22,23.2
Jefferson Ferreira de Moraes,0.44,0.11,2.89,26.6
Karen Hernandez Andrade,1.67,0.0,2.44,24.7
Koichiro Fukushima,2.22,0.0,3.11,23.6
Luis Carlos Mateus Filipe,2.67,0.0,2.78,26.8
Marcin Szczerbowicz,4.0,0.0,2.78,26.4
Martijn Vos,2.22,0.11,2.67,22.7
Martin Molina Astorga,1.78,0.11,3.56,23.2
Massimiliano Ledda,2.33,0.0,2.0,25.3
Masuya Ueda,2.44,0.11,2.33,23.7
Mateusz Piszczelok,2.78,0.0,2.56,24.9
Matthew Corlett,2.89,0.11,2.67,22.7
Miguel Andre Monteiro Fonseca,4.22,0.0,2.78,26.6
Nikola Dabanovic,1.56,0.0,2.67,22.9
Olatz Rivera Olmedo,2.0,0.11,4.0,20.0
Robert Schröder,3.56,0.22,3.22,24.1
Robin Braun,2.78,0.0,3.33,21.6
Sebastian Gishamer,1.0,0.0,4.0,20.4
Timo Gerach,2.56,0.11,3.22,21.4
Valerio Crezzini,1.78,0.0,3.0,25.8
Vasilica Iancu,3.33,0.0,3.56,24.7
Abdullah Al-Harbi,3.5,0.0,3.25,23.9
Abdullah Al-Shehri,2.38,0.0,4.12,21.1
Alfonso Perez Burrull,4.5,0.12,2.5,
Ali Al-Qahtani,3.12,0.0,2.75,21.5
Atsushi Uemura,2.25,0.0,2.5,22.0
Bruno Pereira Vasconcelos,2.75,0.38,3.12,28.1
Cristian Moldoveanu,1.25,0.25,1.38,24.1
Desiree Grundbacher,2.62,0.0,3.25,27.1
Fareeh Al-Jaloud,2.62,0.25,2.25,20.6
Joao Vitor Gobi,1.5,0.0,3.25,29.8
Khalid Al-Ahmari,2.0,0.12,3.0,24.2
Koei Koya,2.75,0.25,2.0,21.8
Koji Takasaki,3.88,0.0,2.12,23.4
Konstantinos Katikos,2.88,0.38,3.62,29.1
Lionel Tschudi,0.88,0.0,3.38,27.0
Luis Alfredo Garcia Rodriguez,1.38,0.12,2.38,24.5
Marcio Torres,2.5,0.0,2.25,26.0
Miguel Ayza,4.62,0.0,3.25,
Omer Tolga Guldibi,3.62,0.12,2.25,29.9
Ricardo Baixinho,4.25,0.62,3.25,32.5
Stanimir Trenchev,1.25,0.25,2.88,22.2
Todor Nedyalkov Kirov,1.62,0.0,2.38,20.1
Yigit Arslan,2.0,0.0,2.75,31.1
Adrian Viorel Cojocaru,0.0,0.0,2.29,22.3
Ahmad Al Rumaikhani,2.43,0.29,3.14,24.3
Alexandros Katsikogiannis,2.86,0.14,2.14,32.0
Andre Filipe Domingues Narciso,4.0,0.0,2.43,30.6
Andrei Moroita,2.0,0.29,2.71,22.0
Andre Luis Skettino Policarpo Bento,5.43,0.57,1.29,31.7
Antonio Miguel Mateu Lahoz,3.57,0.0,3.0,30.8
Antonio Rapuano,2.43,0.29,2.29,25.7
Braulio Da Silva Machado,2.29,0.14,2.71,25.3
Byungjin Park,3.71,0.14,1.71,32.3
Carlos Clos Gómez,3.29,0.14,3.0,
Diogo Rosa,5.43,0.0,3.0,29.1
Elijio Arreguin,1.71,0.14,2.86,29.6
Futoshi Nakamura,3.14,0.29,2.71,20.3
Georgi Stoyanov,1.71,0.0,2.0,20.7
Gero Piskov,2.29,0.0,2.57,24.1
Hayato Shimizu,3.43,0.0,2.43,20.9
Ionut Coza,1.43,0.0,2.43,28.0
Ismail Elfath,2.71,0.0,3.57,20.4
Joakim Sars,2.14,0.0,3.14,25.6
Jong-Hyeok Kim,3.86,0.14,2.0,21.0
Ko Hyung-jin,4.71,0.29,2.0,21.4
Koki Nagamine,3.57,0.0,1.71,22.6
Livio Marinelli,2.0,0.29,2.57,27.7
Marijan Drmic,2.29,0.43,2.57,23.4
Mario Terrazas Chavez,1.57,0.29,2.14,30.6
Meletios Gioumatzidis,2.0,0.0,2.0,29.0
Rafael Ramírez Domínguez,4.29,0.14,3.29,
Raquel Suarez Gonzalez,1.86,0.0,3.86,17.1
Stoyan Arsov,2.57,0.0,1.86,21.1
Will Finnie,4.29,0.0,1.57,22.3
Yong-jun Shin,5.14,0.0,2.86,26.3
Yuzo Sutani,2.0,0.0,2.86,22.4
Abdullah Zarban,4.33,0.0,3.0,25.8
Abdulsamad Bakri,3.67,0.17,4.17,27.8
Abraham de Jesus Quirarte Contreras,2.83,0.5,3.67,26.8
Ahmed Mohammed Al-Rumaikhani,2.17,0.0,2.83,24.3
Chris Graham,1.0,0.0,2.17,25.7
Dimitrios Moschou,2.17,0.0,3.0,30.7
Edina Alves Batista,1.5,0.0,2.67,25.3
Gabriel Mihuleac,1.17,0.0,3.67,22.8
Hiroki Kasahara,3.17,0.17,1.83,21.3
Jacob Miles,4.17,0.33,2.33,21.8
Jonathan Benkenstein Pinheiro,3.17,0.33,2.5,30.8
José Paradas,4.33,0.0,3.67,
Marco Piccinini,1.33,0.33,2.67,27.0
Martin Markov,2.33,0.17,2.33,20.3
Min-Seok Song,5.67,0.0,2.0,28.8
Mohammed Nasser Abu Shaqara,3.33,0.17,3.33,22.7
Richard Martens,2.33,0.0,3.33,23.5
Rohit Saggi,2.0,0.0,2.83,25.8
Salvador Perez Villalobos,2.17,0.0,3.33,27.3
Sami Ahmed Al-Jurays,2.0,0.0,2.83,19.7
Umit Ozturk,2.83,0.0,2.33,26.5
Zorbay Kucuk,0.0,0.0,1.0,30.8
Aliyar Aghayev,1.0,0.0,2.4,26.5
Andris Treimanis,1.0,0.2,2.4,28.0
Anthony Letellier,1.4,0.0,2.2,21.4
Antonio Rubinos Perez,3.4,0.0,3.4,
Carlos Megía Dávila,5.0,0.4,3.8,
Dae-Yong Kim,3.2,0.2,2.2,23.8
Daichi Shiino,3.0,0.0,3.0,27.2
Daniel Stefanski,5.6,0.6,1.0,28.0
Davide Di Marco,2.4,0.0,2.8,25.4
Elcin Masiyev,1.2,0.2,1.2,26.0
Ignacio Iglesias Villanueva,4.2,0.4,3.8,22.8
Igor Pajač,1.2,0.2,3.6,21.8
José Teixeira,5.0,0.0,3.8,
Krasen Georgiev,0.0,0.0,2.6,27.4
