,name,preferred_formation,profile,team_style,pressing_intensity,defensive_line,win_pct,clean_sheet_pct,fail_to_score_pct
1628,Jesse Marsch,4-2-2-2,attacking,hard,0.9,high,33.3,66.7,33.3
1629,Julen Lopetegui,4-3-3,attacking,soft,0.7,high,35.0,25.83,24.17
1630,Karel Geraerts,5-3-2,attacking,soft,0.83,high,66.7,66.7,16.7
1631,Marcelo Bielsa,4-1-4-1,attacking,hard,0.95,high,0.0,50.0,50.0
1632,Massimiliano Alvini,4-4-2,attacking,neutral,0.82,high,0.0,16.67,50.0
1633,Mauricio Pochettino,4-2-3-1,attacking,hard,0.8,high,0.0,0.0,50.0
1634,Mehdi Nafti,4-2-3-1,attacking,neutral,0.66,high,42.11,21.05,15.79
1635,Michael Carrick,3-4-2-1,attacking,neutral,0.5764644664093688,high,47.2,16.7,8.3
1636,Miroslav Klose,4-2-3-1,balanced,neutral,0.55,mid,,,
1637,Paolo Bianco,4-4-2,attacking,soft,0.66,high,10.53,5.26,57.89
1638,Pavel Dotchev,3-4-2-1,defensive,hard,0.46,low,,,
1639,Philippe Montanier,4-3-3,balanced,soft,0.5,mid,66.7,0.0,0.0
1640,Ralf Kettemann,5-3-2,balanced,neutral,0.47,mid,,,
1641,Ralf Rangnick,4-2-2-2,attacking,hard,0.9,high,100.0,50.0,0.0
1642,Rudi Garcia,4-3-3,attacking,neutral,0.65,high,50.0,0.0,0.0
1643,Stefan Leitl,3-5-2,attacking,neutral,0.73,high,50.0,75.0,50.0
1644,Steffen Baumgart,4-1-3-2,attacking,hard,0.85,high,50.0,37.5,25.0
1645,Thomas Stamm,3-4-2-1,attacking,neutral,0.7,high,,,
1646,Thomas Tuchel,3-4-2-1,balanced,neutral,0.65,high,0.0,0.0,50.0
1647,Tim Walter,4-3-3,attacking,soft,0.75,high,50.0,75.0,50.0
1648,Torsten Lieberknecht,3-4-2-1,attacking,hard,0.73,high,66.7,66.7,0.0
1649,Uwe Koschinat,4-3-3,balanced,neutral,0.64,mid,,,
1650,Uwe Rösler,3-5-2,balanced,hard,0.6,mid,33.3,33.3,33.3
1651,Vincent Wagner,4-2-3-1,attacking,neutral,0.66,high,,,
